id;nome;codigo_ans;categoria;tipo;odonto;idade_min;idade_max;quantidade_consultas_ano;quanatidade_exames_ano;valor_mensalidade
1;standardization alarm Forward;Aruba policy;INDIVIDUAL;APARTAMENTO;false;26973;11512;36516;54818;72905
2;Future matrix;software;INDIVIDUAL;APARTAMENTO;true;2364;88150;65322;84690;1647
3;Paraná Associate;payment pixel;EMPRESARIAL;ENFERMARIA;true;13692;94947;59285;25430;84660
4;Bedfordshire Operations Jibuti;Marginal logistical cross-platform;INDIVIDUAL;ENFERMARIA;true;69003;33277;25369;17447;84351
5;reboot Buckinghamshire deposit;Catarina;EMPRESARIAL;ENFERMARIA;false;80571;77100;25930;98316;74196
6;up Berkshire;withdrawal Communications;EMPRESARIAL;ENFERMARIA;false;5228;22505;4615;17141;49510
7;Branding Peixe Developer;mobile;EMPRESARIAL;ENFERMARIA;false;50370;64729;13936;96434;23474
8;Mesa Dynamic;SDD Alameda Investor;EMPRESARIAL;VIP;false;32526;57658;96657;42802;75369
9;Santo Timor-Leste granular;calculate Account IB;INDIVIDUAL;ENFERMARIA;true;14323;17266;81969;51069;16247
10;plug-and-play;Account Rua payment;INDIVIDUAL;APARTAMENTO;true;86245;48395;94039;37006;63751
